"UID","PropertyName","Lon","Lat","AgencyID","Name","Value","Address","Violations2010","REACNumber","Borough","CD","CityCouncilDistrict","CensusTract","BuildingCount","UnitCount","YearBuilt","Owner","Rental.Coop","OwnerProfitStatus","AffordabilityRestrictions","StartAffordabilityRestrictions"
500137,"Gibeon Gardens Apartments",-73.94402429,40.6872051,"BBL 3-01070-0060;BBL 3-01800-0002;BBL 3-01805-0032;BBL 3-01805-0037;BBL 3-01806-0038;BBL 3-01810-0050;BBL 3-01810-0064;BBL 3-01810-0073;HPD Application 1993-024","277 Tompkins Avenue;450 Lexington Avenue;460 Lexington Avenue;522 Lexington Ave/Marcus Garvey Blv;567 Gates Avenue;587 Gates Avenue;617 Gates Avenue;Gibeon Gardens Apartments",753988,"254 MARCUS GARVEY BOULEVARD;277 TOMPKINS AVENUE;450 LEXINGTON AVENUE;460 LEXINGTON AVENUE;567 GATES AVENUE;585 GATES AVENUE;587 GATES AVENUE;617 GATES AVENUE",6,NA,"Brooklyn","BK03: Bedford Stuyvesant",36,"Brooklyn 265",7,42,1931,"GIBEON ASSOCIATES","Rental","Non-Profit","Affordable",1995
500139,"Fulton Plaza Rehabilitation",-73.91291846,40.67814999,"BBL 3-01551-0006;BBL 3-01551-0047;BBL 3-01551-0048;BBL 3-01552-0015;BBL 3-01552-0021;BBL 3-01552-0024;BBL 3-01552-0026;BBL 3-01552-0038;BBL 3-01552-0039;HPD Application 1993-026","2138 Fulton Street;2138A Fulton Street;2166 Fulton Street;2168 Fulton Street;2170 Fulton Street;2176 Fulton Street;2178 Fulton Street;2180 Fulton Street;2180A Fulton Street;2184 Fulton Street;2204A Fulton Street;Fulton Plaza Rehabilitation",2226655,"2108 FULTON STREET;2138 FULTON STREET;2166 FULTON STREET;2168 FULTON STREET;2170 FULTON STREET;2176 FULTON STREET;2178 FULTON STREET;2180 FULTON STREET;2184 FULTON STREET;2204A FULTON STREET",1,NA,"Brooklyn","BK16: Brownsville",41,"Brooklyn 301",7,45,1899,"FULTON PLAZA REDEVELO","Rental","Non-Profit","Affordable",1994
500140,"Mid Webster Renewal",-73.89384094,40.85836156,"BBL 2-03031-0033;BBL 2-03031-0038;BBL 2-03032-0002;BBL 2-03143-0124;BBL 2-03143-0126;BBL 2-03152-0003;HPD Application 1993-027","2091 Webster Aveue-Vacant Lot;2093 Webster Avenue;2372 Webster Avenue;2380 Ryer Avenue;2382 Webster Avenue;Mid Webster Renewal",898890,"2091 WEBSTER AVENUE;2093 WEBSTER AVENUE;2372 WEBSTER AVENUE;2380 RYER AVENUE;2382 WEBSTER AVENUE;2406 WEBSTER AVENUE",12,NA,"Bronx","BX06: Belmont/East Tremont",15,"Bronx 383",5,68,1909,"WEBSTER-RYER COMMUNIT","Rental","Non-Profit","Affordable",1995
500141,"New Jersey Corridor Project",-73.89302709,40.66311657,"BBL 3-03824-0001;BBL 3-03824-0005;BBL 3-03840-0029;BBL 3-03840-0031;BBL 3-03840-0035;BBL 3-03841-0007;HPD Application 1993-028","614 Riverdale Avenue;620 Riverdale Avenue;622 Riverdale Avenue;633 New Jersey Avenue;641-643 New Jersey Ave;656 New Jersey Avenue-Vacant;658 New Jersey Avenue-Vacant;673 New Jersey Avenue;New Jersey Corridor Project",177470,"614 RIVERDALE AVENUE;620 RIVERDALE AVENUE;633 NEW JERSEY AVENUE;652 NEW JERSEY AVENUE;660 NEW JERSEY AVENUE;673 NEW JERSEY AVENUE",0,NA,"Brooklyn","BK05: East New York/Starrett City",42,"Brooklyn 1128",6,23,1930,"DAWSON ESTATES ASSOCI","Rental","Non-Profit","Affordable",1994
500144,"The Bradhurst Plaza Phase II HDFC Project",-73.94463428,40.82543048,"BBL 1-02032-0043;BBL 1-02061-0039;HPD Application 1993-033","The Bradhurst Plaza Phase II HDFC Project",1932988,"210 WEST 147 STREET;410 WEST 147 STREET",2,NA,"Manhattan","MN10: Central Harlem",7,"Manhattan 231.01",1,41,1920,"ZIPPORAH ASSOCIATES,L","Rental","Non-Profit","Affordable",1996
500145,"Augusta Savage Houses",-73.9429701,40.82786149,"BBL 1-01822-0052;BBL 1-02063-0063;BBL 1-02065-0038;BBL 1-02066-0034;BBL 1-02067-0034;HPD Application 1994-001","Augusta Savage Houses",1466037,"55 ST NICHOLAS AVENUE;55 ST NICHOLAS PLACE;830 ST NICHOLAS AVENUE",0,NA,"Manhattan","MN10: Central Harlem",7,"Manhattan 235.01",4,54,1900,"55 AS-SABRUN HDFC","Rental","Non-Profit","Affordable",1996
500146,"Franklin Project",-73.95750819,40.6727679,"BBL 3-01168-0058;BBL 3-01168-0059;BBL 3-01175-0051;BBL 3-01175-0056;BBL 3-01175-0058;BBL 3-01177-0028;BBL 3-01245-0005;HPD Application 1994-002","732 Frankln Avenue;734 Franklin Avenue;738 Franklin Avenue;750 Franklin Avenue;755 Franklin Avenue;756 Franklin Avenue;796 Classon Avenue;Franklin Project",615606,"732 FRANKLIN AVENUE;734 FRANKLIN AVENUE;738 FRANKLIN AVENUE;750 FRANKLIN AVENUE;755 FRANKLIN AVENUE;756 FRANKLIN AVENUE;796 CLASSON AVENUE",0,NA,"Brooklyn","BK08: Crown Heights/Prospect Heights",35,"Brooklyn 217",7,37,1906,"MHANY 1999 HOUSING DE","Rental","Non-Profit","Affordable",1995
500147,"Vanmew Apartments",-73.95050351,40.67792253,"BBL 3-01200-0057;BBL 3-01200-0058;BBL 3-01207-0005;BBL 3-01219-0020;HPD Application 1994-003","1050 Bergen Street;1260 Pacific Street;1265 Pacific Street;1267 Pacific Street;575 Nostrand Ave;Vanmew Apartments",524174,"1050 BERGEN STREET;1260 PACIFIC STREET;1265 PACIFIC STREET;1267 PACIFIC STREET",0,NA,"Brooklyn","BK08: Crown Heights/Prospect Heights",36,"Brooklyn 315",4,30,1910,"VANMEW HOUSING DEVELO","Rental","Non-Profit","Affordable",1995
500148,"Housing 2000 II Apartments",-73.95368475,40.80566978,"BBL 1-01924-0001;BBL 1-01924-0005;BBL 1-01924-0006;BBL 1-01924-0007;BBL 1-01924-0008;HPD Application 1994-004;SHARS 19990707","2190 8th Ave.;2190 Eighth Avenue;273 W. 118th St.;273 W. 118th Street;275 W. 118th St.;275 W. 118th Street;277 W. 118th St.;277 W. 118th Street;279 W. 118th St.;279 W. 118th Street;Housing 2000 II Apartments;HOUSING 2000 III - ROUND VI",1054944,"2190 EIGHTH AVENUE;273 WEST 118 STREET;275 WEST 118 STREET;277 WEST 118 STREET;279 WEST 118 STREET",0,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 220",5,48,1910,"HOUSING 2000 HOUSING","Rental","Non-Profit","Affordable",1995
500149,"Bremond Houses",-73.94562455,40.82070456,"BBL 1-02048-0037;BBL 1-02048-0038;BBL 1-02048-0039;BBL 1-02048-0047;BBL 1-02048-0048;HPD Application 1994-007","123 Edgecombe Avenue;125 Edgecombe Avenue;127 Edgecombe Avenue;602 St. Nicholas Avenue;604 St. Nicholas Avenue;Bremond Houses",871170,"123 EDGECOMBE AVENUE;125 EDGECOMBE AVENUE;127 EDGECOMBE AVENUE;604 ST NICHOLAS AVENUE",0,NA,"Manhattan","MN10: Central Harlem",7,"Manhattan 221.02",2,41,1910,"BREMOND HOUSES ASSOCI","Rental","Non-Profit","Affordable",1995
500150,"George W. Lewis Houses",-73.94852348,40.81434364,"BBL 1-01955-0017;BBL 1-01958-0018;BBL 1-01958-0026;BBL 1-01958-0027;BBL 1-01958-0058;BBL 1-01958-0061;BBL 1-01959-0019;HPD Application 1994-009","2407 8th Avenue;2407 Frederick Douglas Blvd;2451 Frederick Douglas Blvd;2467 8th Avenue;2467 Frederick Douglas Blvd;2469 Frederick Douglas Blvd;418 St. Nicholas Avenue;418-424 St. Nicholas Avenue;George W. Lewis Houses",1458505,"",0,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 217.02",4,42,1901,"GEORGE W LOUIS HOUSES","Rental","Non-Profit","Affordable",1996
500151,"Creations Plaza",-73.95021731,40.80534995,"BBL 1-01718-0069;BBL 1-01903-0029;BBL 1-01904-0033;BBL 1-01904-0059;BBL 1-01906-0064;HPD Application 1994-010","101 West 118th Street/161 Lenox Ave;166 West 120th Street;196-198 Lenox Ave/84 West120 St.;2031 7th Avenue;2031-33 Adam Clayton Powell Jr.Blvd;Creations Plaza",1739095,"101 WEST 118 STREET;166 WEST 120 STREET;191 LENOX AVENUE;196 LENOX AVENUE;2031 SEVENTH AVENUE",0,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 220",5,48,1909,"CREATIONS ASSOCIATESL","Rental","Non-Profit","Affordable",1996
500152,"New Haarlem Village",-73.93636871,40.80115744,"BBL 1-01644-0024;BBL 1-01644-0026;BBL 1-01644-0057;BBL 1-01644-0068;BBL 1-01644-0164;BBL 1-01645-0025;BBL 1-01645-0124;BBL 1-01661-0038;BBL 1-01772-0055;BBL 1-01783-0042;BBL 1-01785-0025;BBL 1-01786-0039;BBL 1-01796-0054;HPD Application 1994-011","112 E. 117th Street;120 E. 117th Street;122 E. 117th Street-Vacant Lot;140 E. 117th Street;155 E. 117th Street;157 E. 117th Street-Vacant Lot;161 E 116th Street;2026 Lexington Ave;2030 Lexington Avenue-Vacant Lot;210 E. 119th Street;224 E. 122nd Street;2330 Second Avenue;2349 Second Ave;New Haarlem Village",3692161,"112 EAST 117 STREET;120 EAST 117 STREET;140 EAST 117 STREET;155 EAST 116 STREET;155 EAST 117 STREET;157 EAST 117 STREET;161 EAST 116 STREET;2026 LEXINGTON AVENUE;210 EAST 119 STREET;224 EAST 112 STREET;224 EAST 122 STREET;2349 SECOND AVENUE",0,NA,"Manhattan","MN11: East Harlem",8,"Manhattan 194",10,70,1900,"J   NDY    .","Rental","Non-Profit","Affordable",1995
500153,"""Ilene R. Smith, L.P.""",-73.91915959,40.84733192,"BBL 2-02876-0082;HPD Application 1994-014","1628 University Avenue;Ilene R. Smith, L.P.",220860,"1628 UNIVERSITY AVENUE",0,NA,"Bronx","BX05: Fordham/University Heights",16,"Bronx 215.02",1,35,1910,"ILENE R. SMITH LIMITE","Rental","For Profit","Affordable",1996
500154,"Jericho Residence II",-73.90338577,40.84762719,"BBL 2-02803-0002;HPD Application 1994-015","1840 Anthony Avenue;Jericho Residence II",148664,"1840 ANTHONY AVENUE",0,NA,"Bronx","BX05: Fordham/University Heights",14,"Bronx 233.02",1,33,1910,"JERICHO HOUSING ASSOC","Rental","For Profit","Affordable",1995
500156,"St. Nicholas Avenue Houses",-73.94874718,40.81470056,"BBL 1-01958-0054;BBL 1-01958-0055;BBL 1-01958-0056;HPD Application 1996-010","428 St. Nicholas Avenue;430 St. Nicholas Avenue;432 St. Nicholas Avenue;St. Nicholas Avenue Houses",1207863,"428 ST NICHOLAS AVENUE;430 ST NICHOLAS AVENUE;432 ST NICHOLAS AVENUE",3,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 217.02",3,32,1963,"ST. NICHOLAS AVENUELI","Rental","Non-Profit","Affordable",1997
500157,"MRC Melrose House Phase II",-73.91075293,40.82270021,"BBL 2-02365-0026;HPD Application 1996-013","875 Melrose Avenue;MRC Melrose House Phase II",669960,"873 BROOK AVENUE;875 BROOK AVENUE",1,NA,"Bronx","BX03: Morrisania/Crotona",17,"Bronx 141",1,21,1920,"MRC MELROSE HOUSES LI","Rental","Non-Profit","Affordable",1997
500158,"Willis Avenue Apartments",-73.90908336,40.81235682,"BBL 2-02284-0004;BBL 2-02284-0006;BBL 2-02329-0082;BBL 2-02397-0005;BBL 2-02579-0010;HPD Application 1996-026","288-290 Willis Avenue;292 Willis Avenue;495 Courtlandt Avenue;512 Jackson Avenue;580 Courtlandt Avenue;Willis Avenue Apartments",408376,"288 WILLIS AVENUE;292 WILLIS AVENUE;495 COURTLANDT AVENUE;512 JACKSON AVENUE;580 COURTLANDT AVENUE",0,NA,"Bronx","BX01: Mott Haven/Melrose",17,"Bronx 35",4,32,1931,"WILLIS AVENUE ASSOCIA","Rental","Non-Profit","Affordable",1998
500159,"262 West 115th Street",-73.95484964,40.80306825,"BBL 1-01830-0052;HPD Application 1997-101","262 West 115th Street",226200,"262 WEST 115 STREET",0,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 218",1,10,1900,"262 WEST 115 LLC","Rental","For Profit","Affordable",1998
500160,"Fredrick Douglas Project",-73.94689327,40.81547922,"BBL 1-01939-0063;HPD Application 1997-103","2500 Frederick Douglas Blvd;Fredrick Douglas Project",363240,"2500 EIGHTH AVENUE",0,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 226",1,10,1910,"2500 FREDERICK DOUGLA","Rental","For Profit","Affordable",1998
500161,"La Puerta de Vitalidad",-73.91235107,40.82182587,"BBL 2-02380-0051;HPD Application 1998-012","La Puerta de Vitalidad",1833705,"3103 3 AVENUE",3,NA,"Bronx","BX01: Mott Haven/Melrose",17,"Bronx 69",4,61,2000,"LA PUERTA DE VITALIDA","Rental","For Profit","Affordable",2002
500162,"`New Life Homes",-73.89638608,40.65638671,"BBL 3-03875-0054;HPD Application 1998-098","`New Life Homes;New Life Homes",1620900,"361 DE WITT AVENUE",0,NA,"Brooklyn","BK05: East New York/Starrett City",42,"Brooklyn 1098",1,55,2000,"NEW LIFE HOLMES LP","Rental","For Profit","Affordable",2001
500164,"Phase II- Housing for Families",-73.9509856,40.80193859,"BBL 1-01825-0021;HPD Application 2000-007","Phase II- Housing for Families;Phase II-Housing for Families",1397520,"121 WEST 115 STREET",0,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 218",4,35,1999,"MTFA, L.P.","Rental","For Profit","Affordable",2001
500165,"Vincent P. Cyrus Plaza (Buliding A)",-73.93820132,40.80746031,"BBL 1-01753-0027;BBL 1-01753-0028;HPD Application 2000-008;HPD Application 2000-009","Vincent Cyrus Plaza Bldg A (57 E. 128);Vincent Cyrus Plaza Bldg B (73 E. 128);Vincent P. Cyrus Plaza (Building B);Vincent P. Cyrus Plaza (Buliding A)",1890900,"57 EAST 128 STREET",0,NA,"Manhattan","MN11: East Harlem",9,"Manhattan 206",3,43,1999,"VINCENT P CYRUS PLAZA","Rental","For Profit","Affordable",2001
500167,"Phippa Houses NRP Project",-73.902493,40.83282974,"BBL 2-02929-0078;BBL 2-02931-0013;BBL 2-02933-0062;BBL 2-02935-0028;HPD Application 2000-010","1326 Fulton Avenue;1639 Fulton Avenue;635 Jefferson Avenue;643 East 169th Street;Phippa Houses NRP Project;Phipps Houses NRP Project",1041658,"1326 FULTON AVENUE;1639 FULTON AVENUE;635 JEFFERSON PLACE;643 EAST 169 STREET",0,NA,"Bronx","BX03: Morrisania/Crotona",16,"Bronx 149",5,107,1927,"FULTON-JEFFERSON ASSO","Rental","For Profit","Affordable",2001
500168,"Schafer Hall",-73.94140071,40.80048765,"BBL 1-01767-0005;BBL 1-01767-0010;BBL 1-01767-0109;HPD Application 2000-013","Schafer Hall",5054400,"111 EAST 118 STREET",0,NA,"Manhattan","MN11: East Harlem",8,"Manhattan 182",1,91,1999,"SCHAFER HALL, L.P.  C","Rental","For Profit","Affordable",2001
500169,"Quisqueya Housing Company LP Phase 2",-73.9355958,40.84217674,"BBL 1-02111-0107;BBL 1-02128-0047;HPD Application 2000-014","2240  Amsterdam Avenue;457 West 166th Street;Quisqueya - Phase 2;Quisqueya Housing Company LP Phase 2",810360,"2240 AMSTERDAM AVENUE;457 WEST 166 STREET",0,NA,"Manhattan","MN12: Washington Heights/Inwood",10,"Manhattan 253",2,29,1913,"QUISQUEYA HOUSING COM","Rental","For Profit","Affordable",2002
500170,"Miguel Sosa Estates L.P.",-73.8823232,40.84623802,"BBL 2-02945-0023;BBL 2-02945-0026;BBL 2-02947-0005;BBL 2-03121-0044;BBL 2-03122-0016;BBL 2-03123-0079;BBL 2-03124-0039;BBL 2-03127-0016;BBL 2-03127-0046;BBL 2-03127-0052;BBL 2-03127-0073;HPD Application 2000-015","1842 Arthur Avenue;1844 Arthur Avenue;1884 Arthur Avenue;2068 Daly Avenue;2081 Vyse Avenue;867 East 179th Street;867 East 181st Street;910 East 178th Street;916 East 179th Street;934 East 179th Street;Miguel Sosa Estates L.P.;Miquel Sosa Estates",2563991,"1842 ARTHUR AVENUE;1844 ARTHUR AVENUE;1884 ARTHUR AVENUE;2068 DALY AVENUE;2081 VYSE AVENUE;2086 DALY AVENUE;867 EAST 179 STREET;867 EAST 181 STREET;910 EAST 178 STREET;916 EAST 179 STREET;934 EAST 179 STREET",1,NA,"Bronx","BX06: Belmont/East Tremont",15,"Bronx 363",10,131,1914,"MIGUEL SOSA ESTATE LP","Rental","For Profit","Affordable",2002
500171,"Evanell LP",-73.94583388,40.82097639,"BBL 1-02048-0033;BBL 1-02048-0042;BBL 1-02048-0141;BBL 1-02051-0004;BBL 1-02051-0007;BBL 1-02051-0060;HPD Application 2000-016","115 Edgecombe Avenue;231 Edgcombe Avenue;347 West 141st Street;351 West 141st Street;616 ST NICHOLAS AVE;618 St. Nicholas Avenue;620 St. Nicholas Avenue;Evanell LP;Evanell NRP",1748509,"115 EDGECOMB AVENUE;231 EDGECOMBE AVENUE;347 WEST 141 STREET;351 WEST 141 STREET;620 ST NICHOLAS AVENUE",3,NA,"Manhattan","MN10: Central Harlem",7,"Manhattan 221.02",6,53,1910,"EVANELL LIMITED PARTN","Rental","For Profit","Affordable",2001
500173,"University Avenue  cluster",-73.91438184,40.84691951,"BBL 2-02867-0058;HPD Application 2000-021","1691 Davidson Avenue;Univ Ave. Cluster (1691 Davidson);University Avenue  cluster",264740,"1691 DAVIDSON AVENUE",0,NA,"Bronx","BX05: Fordham/University Heights",16,"Bronx 217.01",1,25,1931,"UNIVERSITY AVENUE, L.","Rental","Non-Profit","Affordable",2002
500174,"University Avenue Development Corp",-73.91426713,40.8461811,"BBL 2-02861-0011;HPD Application 2000-024","1668 Davidson Avenue;Univ Ave. Cluster (1668 Davidson);University Avenue Development Corp",130000,"1668 DAVIDSON AVENUE",0,NA,"Bronx","BX05: Fordham/University Heights",16,"Bronx 217.01",1,9,1926,"UNIVERSITY AVENUE, L.","Rental","Non-Profit","Affordable",2002
500175,"West 149th Street Cluster",-73.93878159,40.82459039,"BBL 1-02034-0048;HPD Application 2000-027","224-226 West 149th Street;W. 149 St. Cluster (224-26 W. 149 St.);West 149th Street Cluster",431820,"224 WEST 149 STREET",0,NA,"Manhattan","MN10: Central Harlem",7,"Manhattan 234",1,18,1910,"VISION BUILDERS L.P.","Rental","For Profit","Affordable",2001
500176,"West 144th Street Cluster",-73.9419225,40.81926727,"BBL 1-02026-0041;HPD Application 2000-032","208 West 141st Street;W. 144 St. Cluster (208 W. 141);West 144th Street Cluster",432810,"208 WEST 141 STREET",0,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 230",1,24,1920,"PRESTIGE REALTY ASSOC","Rental","For Profit","Affordable",2000
500177,"West 144th Street Cluster",-73.93844627,40.81991871,"BBL 1-02012-0017;HPD Application 2000-034","139 W 143rd St;W. 144 St. Cluster (139 W. 143 St.);West 144th Street Cluster",624150,"139 WEST 143 STREET",0,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 232",1,17,1920,"PRESTIGE REALTY L.D.","Rental","Non-Profit","Affordable",2001
500178,"West 144th Street Cluster",-73.93839857,40.8207174,"BBL 1-02013-0012;HPD Application 2000-035","137-39 W 144th Street;W. 144 St. Cluster (137-39 W. 144);West 144th Street Cluster",1634220,"137 WEST 144 STREET",0,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 232",1,20,1920,"PRESTIGE REALTY L.D.","Rental","For Profit","Affordable",2001
500179,"West 144th Street Cluster",-73.93897688,40.82046245,"BBL 1-02012-0057;HPD Application 2000-036","160 West 144th Street;W. 144 St. Cluster (160 W. 144);West 144th Street Cluster",570777,"160 WEST 144 STREET",0,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 232",1,15,1920,"PRESTIGE REALTY ASSOC","Rental","For Profit","Affordable",2001
500180,"West 144th Street Cluster",-73.93805623,40.81975656,"BBL 1-02012-0022;HPD Application 2000-037","115-17 West 143rd Street;W. 144 St. Cluster (115 W. 143);West 144th Street Cluster",855000,"115 WEST 143 STREET",0,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 232",1,24,1920,"PRESTIGE REALTY ASSOC","Rental","For Profit","Affordable",2000
500181,"West 144th Street Cluster",-73.93885844,40.81960329,"BBL 1-02011-0050;HPD Application 2000-038","130-32 West 143rd Street;W. 144 St. Cluster (130-32 W. 143);West 144th Street Cluster",1039858,"130 WEST 143 STREET",0,NA,"Manhattan","MN10: Central Harlem",9,"Manhattan 232",1,19,1910,"PRESTIGE REALTY ASSOC","Rental","For Profit","Affordable",2002
500182,"Creston Avenue Cluster",-73.90385812,40.85341616,"BBL 2-03160-0009;HPD Application 2000-040","2070-72 Creston Avenue;Creston Ave Clust (2070-72 Creston);Creston Avenue Cluster",525056,"2070 CRESTON AVENUE",0,NA,"Bronx","BX05: Fordham/University Heights",14,"Bronx 235.01",2,30,1922,"WALTON CLUSTER L.P.","Rental","For Profit","Affordable",2001
500183,"Creston Avenue Cluster",-73.90404636,40.85322693,"BBL 2-03160-0005;HPD Application 2000-041","2064-66 Creston Avenue;Creston Ave Clust (2064-66 Creston);Creston Avenue Cluster",567538,"2064 CRESTON AVENUE",1,NA,"Bronx","BX05: Fordham/University Heights",14,"Bronx 235.01",1,30,1922,"WALTON CLUSTER L.P.","Rental","For Profit","Affordable",2001
500184,"Creston Avenue Cluster",-73.90555136,40.85234438,"BBL 2-02807-0067;HPD Application 2000-042","2031 Creston Avenue;Creston Ave Clust (2031 Creston);Creston Avenue Cluster",583830,"2031 CRESTON AVENUE",3,NA,"Bronx","BX05: Fordham/University Heights",14,"Bronx 241",1,25,1919,"WALTON CLUSTER L.P.","Rental","For Profit","Affordable",2000
500185,"Creston Avenue Cluster",-73.90413112,40.86213903,"BBL 2-03165-0044;BBL 2-03212-0080;HPD Application 2000-043","2405 Grand Avenue;Creston Ave Clust (2405 Grand);Creston Avenue Cluster",3324253,"2401 GD CONCOURSE;2405 GRAND AVENUE",0,NA,"Bronx","BX05: Fordham/University Heights",14,"Bronx 253",1,21,1929,"THE FIRST PARADISE TH","Rental","For Profit","Affordable",2002
500186,"Creston Avenue Cluster",-73.87704951,40.87182957,"BBL 2-03353-0007;HPD Application 2000-044","365 East 204th Street;Creston Ave Clust (365 E. 204);Creston Avenue Cluster",200176,"365 EAST 204 STREET",0,NA,"Bronx","BX07: Kingsbridge Heights/Bedford",11,"Bronx 425",1,8,1920,"WALTON CLUSTER, L.P.","Rental","For Profit","Affordable",2002
500187,"Creston Avenue Cluster",-73.90328113,40.85993433,"BBL 2-03198-0089;HPD Application 2000-045","2349 Jerome Avenue;Creston Ave Clust (2349 Jerome);Creston Avenue Cluster",127390,"2349 JEROME AVENUE",0,NA,"Bronx","BX07: Kingsbridge Heights/Bedford",14,"Bronx 239",1,3,1910,"NEIGHBORHOOD PARTNERS","Rental","For Profit","Affordable",2001
500188,"Creston Avenue Cluster",-73.90396288,40.85596607,"BBL 2-03181-0001;HPD Application 2000-046","2170 Walton Avenue;Creston Ave Clust (2170 Walton Ave.);Creston Avenue Cluster",2030394,"2170 WALTON AVENUE",0,NA,"Bronx","BX05: Fordham/University Heights",14,"Bronx 239",1,36,1924,"WALTON CLUSTER, L.P.","Rental","For Profit","Affordable",2002
500189,"Howard Avenue Cluster",-73.92110282,40.6869419,"BBL 3-01485-0042;HPD Application 2000-050","50 Howard Aveue;Howard Ave Clust (50 Howard);Howard Avenue Cluster",115205,"50 HOWARD AVENUE",0,NA,"Brooklyn","BK03: Bedford Stuyvesant",41,"Brooklyn 375",1,8,1905,"HOWARD AVENUE DEVELOP","Rental","For Profit","Affordable",2003
500190,"Howard Avenue Cluster",-73.92277143,40.68768137,"BBL 3-01483-0016;HPD Application 2000-051","872-74 Madison Street;Howard Ave Clust (872 Madison);Howard Avenue Cluster",195271,"872 MADISON STREET",2,NA,"Brooklyn","BK03: Bedford Stuyvesant",41,"Brooklyn 375",1,8,1930,"HOWARD AVENUE DEVELOP","Rental","For Profit","Affordable",2003
500191,"Howard Avenue Cluster",-73.91886891,40.68558992,"BBL 3-01491-0049;HPD Application 2000-056","843 Halsey Street;Howard Ave Clust (843 Halsey);Howard Avenue Cluster",71129,"843 HALSEY STREET",0,NA,"Brooklyn","BK03: Bedford Stuyvesant",41,"Brooklyn 377",1,6,1910,"HOWARD AVENUE DEVELOP","Rental","For Profit","Affordable",2003
500192,"Trinity Avenue Clutster",-73.90563385,40.82732097,"BBL 2-02607-0062;HPD Application 2000-061","590 East 166th Street;Trinity Ave Cluster (590 E. 166);Trinity Avenue Clutster",1835493,"590 EAST 166 STREET",0,NA,"Bronx","BX03: Morrisania/Crotona",16,"Bronx 137",1,62,1926,"J & VELCO CO., L.P.","Rental","For Profit","Affordable",2002
500193,"Sherman Avenue Cluster",-73.91812404,40.83119507,"BBL 2-02456-0042;HPD Application 2000-062","200 East 166th Street;Sherman Ave Clust (200 E. 166th St.);Sherman Avenue Cluster",550440,"1070 SHERIDAN AVENUE",0,NA,"Bronx","BX04: Highbridge/Concourse",16,"Bronx 181",1,24,1916,"SHERMAN ASSOCIATES, L","Rental","For Profit","Affordable",2001
500194,"Sherman Avenue Cluster",-73.92130008,40.83143058,"BBL 2-02472-0001;HPD Application 2000-063","149 East 165th Street;Sherman Ave Clust (149 E. 165th St.);Sherman Avenue Cluster",239668,"1050 WALTON AVENUE",0,NA,"Bronx","BX04: Highbridge/Concourse",16,"Bronx 195",1,20,1919,"SHERMAN ASSOCIATES,L.","Rental","For Profit","Affordable",2002
500195,"Sherman Avenue Cluster",-73.9099007,40.83570398,"BBL 2-02782-0050;HPD Application 2000-065","1345 Teller Avenue;Sherman Ave Clust (1345 Teller Ave.);Sherman Avenue Cluster",335250,"1345 TELLER AVENUE",0,NA,"Bronx","BX04: Highbridge/Concourse",16,"Bronx 177",1,22,1910,"SHERMAN ASSOCIATES, L","Rental","For Profit","Affordable",2001
500196,"East 105th street cluster",-73.94527952,40.79213736,"BBL 1-01634-0029;BBL 1-01643-0029;HPD Application 2000-073","161 East 106th Street;163 East 106th Street;E. 105 St. Cluster (161-63 E. 106 St.);East 105th street cluster",1014403,"161 EAST 106 STREET",0,NA,"Manhattan","MN11: East Harlem",8,"Manhattan 172.01",3,20,1920,"CDC EAST 105TH STREET","Rental","Non-Profit","Affordable",2001
500197,"East 105th Street Cluster",-73.94216164,40.78937464,"BBL 1-01676-0043;HPD Application 2000-075","314 East 105th Street;E. 105 St. Cluster (314 E. 105th St.);East 105th Street Cluster",210745,"314 EAST 105 STREET",0,NA,"Manhattan","MN11: East Harlem",8,"Manhattan 170",1,8,1910,"CDC EAST 105TH STREET","Rental","For Profit","Affordable",2002
500198,"East 105th Street Cluster",-73.94401315,40.7906546,"BBL 1-01655-0011;HPD Application 2000-076","225 East 102nd Street;E. 105 St. Cluster (225 E. 105 St.);East 105th Street Cluster",561420,"225 EAST 105 STREET",0,NA,"Manhattan","MN11: East Harlem",8,"Manhattan 170",1,12,1920,"CDC EAST 105TH STREET","Rental","For Profit","Affordable",2002
500199,"East 105th Street Cluster",-73.94396117,40.78804983,"BBL 1-01674-0001;HPD Application 2000-082","301 East 102nd Street;E. 105 St. Cluster (301 E. 102nd St.);East 105th Street Cluster",644759,"301 EAST 102 STREET",0,NA,"Manhattan","MN11: East Harlem",8,"Manhattan 164",1,12,1910,"CDC EAST 105TH STREET","Rental","For Profit","Affordable",2002
